dataset,split,test_rows,mean_max_tanimoto,median_max_tanimoto,inside_fraction,outside_fraction
BBBP,random,198,0.5774985887319782,0.6038074712643678,0.6414141414141414,0.35858585858585856
BBBP,scaffold,198,0.43347533118329773,0.4,0.3333333333333333,0.6666666666666666
ClinTox,random,147,0.5160931980755864,0.5,0.5170068027210885,0.48299319727891155
ClinTox,scaffold,146,0.40936880341689846,0.36944173969490424,0.2945205479452055,0.7054794520547946
Tox21_NR-AR,random,727,0.5771306552818721,0.5714285714285714,0.6519944979367263,0.34800550206327374
Tox21_NR-AR,scaffold,727,0.4368185984594604,0.40740740740740744,0.3177441540577717,0.6822558459422283
Tox21_SR-p53,random,678,0.5802089935607249,0.5714285714285714,0.6637168141592921,0.336283185840708
Tox21_SR-p53,scaffold,678,0.4305131799238975,0.4,0.2949852507374631,0.7050147492625368
Solubility,random,999,0.6376036421152771,0.6216216216216216,0.7537537537537538,0.24624624624624625
Solubility,scaffold,999,0.42696557563645987,0.4,0.2852852852852853,0.7147147147147147
Lipophilicity,random,420,0.6426054750992825,0.7072944297082228,0.7142857142857143,0.2857142857142857
Lipophilicity,scaffold,420,0.5459411474247875,0.5365853658536586,0.5547619047619048,0.4452380952380952
