dataset,split,model,mean_uncertainty,high_fraction,high_accuracy,low_accuracy,accuracy_gap,high_rmse,low_rmse,rmse_gap
Tox21_SR-p53,random,mlp,0.017371612180065003,0.25073746312684364,0.7705882352941177,0.9625984251968503,0.19201018990273266,,,
Tox21_NR-AR,scaffold,mlp,0.004999390525646468,0.25034387895460797,0.945054945054945,0.9596330275229358,0.01457808246799075,,,
Tox21_SR-p53,scaffold,mlp,0.011027777507631984,0.25073746312684364,0.8176470588235294,0.9094488188976378,0.09180176007410845,,,
Lipophilicity,scaffold,mlp,0.12305231801904763,0.25,,,,0.6601464078825959,0.974952240254775,-0.3148058323721791
ClinTox,random,mlp,0.0027828097249600003,0.25170068027210885,0.7567567567567568,0.990909090909091,0.23415233415233416,,,
Solubility,scaffold,mlp,0.20890081305605607,0.2502502502502503,,,,2.1842504449852838,1.8670990200937176,0.3171514248915661
Lipophilicity,random,mlp,0.1303466969547619,0.25,,,,0.6782021474417975,0.8624412637696898,-0.18423911632789225
ClinTox,scaffold,mlp,0.010524946046814039,0.2534246575342466,0.7837837837837838,0.926605504587156,0.1428217208033722,,,
Solubility,random,mlp,0.22471290678278277,0.2502502502502503,,,,1.5129906409507647,1.2558434928112372,0.25714714813952755
Tox21_NR-AR,random,mlp,0.006657836406662336,0.25034387895460797,0.9615384615384616,0.9706422018348624,0.00910374029640082,,,
BBBP,scaffold,mlp,0.01731014150669414,0.25252525252525254,0.62,0.9054054054054054,0.2854054054054054,,,
BBBP,random,mlp,0.014944179929343432,0.25252525252525254,0.64,0.9527027027027027,0.31270270270270273,,,
